userName,score,at,content
Ajo Anshor Cantik Gindo,5,2026-05-02 12:08:16,bagus
Sur Yani,1,2026-05-02 11:48:02,"sudah di download, pas dibuka tidak bisa. katanya terjadi kesalahan, dan disuruh cek jaringan. sudah saya cek, jaringan saya aman aman saja. saya coba buka canva lagi tetap saja muncul seperti itu, berkali kali. saya coba membuka aplikasi lain lancar lancar saja, tetapi kenapa canva slalu tidak bisa? tolong perbaiki, anak saya ada tugas dan hanya canva yang diperbolehkan digunakan."
Ainur Rofiqoh,5,2026-05-02 11:22:56,sudah sangat bagus cuma akhir² ini sering lemot padahal jaringan sudah full stabil
Winda Azzahra,5,2026-05-02 11:19:06,sangat bagus
Akus Akus,5,2026-05-02 09:44:01,aplikasi yang berguna dan bermanfaat
HMH Vision,5,2026-05-02 08:07:27,Keren
Aulia judh Jeemy,1,2026-05-02 07:54:16,"apa ini Canva yang gue pake ngelag terus + suka keluar akun Mulu, ngeselin banget sii padahal memori ngk penuh."
eboad eboad,5,2026-05-02 07:09:45,eror parah
Domi Nikus,5,2026-05-02 06:59:34,saya suka
VAN BOUROUGH,5,2026-05-02 06:37:36,"bagus banget sih,ngedit ini itu pokoknya jadi bagus banget"
Rafa Ahlan,4,2026-05-02 06:36:52,bagus
Vanny_GMY 1927,5,2026-05-02 05:16:18,Aplikasi ini sangat menarik dan keren
Jelani,1,2026-05-02 04:32:46,tidak dapat membatalkan langganan
dwi puji astuti,5,2026-05-02 02:45:49,sangat bermanfaat
Neysa Nabilah,1,2026-05-02 02:07:32,ini knp dah g bisa di buka pdhl baru pasang apk
Rhofi Tiktok,5,2026-05-02 02:03:40,kenapa tidak bisa masuk ke aplikasi nya padahal jaringan bagus
Ristianti Yusuf,4,2026-05-02 01:45:02,ya gitu
henrik andri,5,2026-05-02 00:45:26,sangat membantu ketika ingin ngedasin
Istiqomah Pribadi,1,2026-05-01 23:39:59,mau batalin langganan aja susah nya minta ampun
Nicky Tendeken,1,2026-05-01 20:53:26,Apk tolol gak guna kebayar sendiri padahal tidak ada transaksi apa² jangan gunakan CANVA dia bisa mengambil dana anda
Muhibur Rohman,1,2026-05-01 16:06:24,"saya unggah foto tidam bisa, biasanya bisa, tapi sekaranf tidam bisa"
Alexa Aurelio Thamrin,5,2026-05-01 14:59:14,membuat sya menjadi kreatif. semangat trus dev🔥
Nyagita,4,2026-05-01 14:04:08,"aplikasinya bagus, hanya saja foto profil saya kenapa tidak bisa diganti ya? padahal sebelumnya bisa, mohon bantuannya. terima kasih 🙏🏻"
Rosalina Afriyani,4,2026-05-01 13:25:51,oke ya. thanks respon nya
novi yani,5,2026-05-01 13:25:42,canca ini membantu aku sekali untuk gabut aku seru banet kalian juga harus coba
Hasim Shop,5,2026-05-01 13:02:03,pembuatan foto dan fidio
Audry Prayudipta,3,2026-05-01 12:49:19,"jujur udah bagus bangett dari elemen, font, yang lain dan hasil dari aplnya beneran sesuai sama yang aku mau, tapi MASALAHNYA TUH GA BISA MASUK STUCK DI LOGO TERUS, tolong perbaikannya banget inii"
Rama Dan,5,2026-05-01 12:38:25,Ini canva yaaaaa menurutku udj wort irt banget sihh
Aisyah Amini,5,2026-05-01 12:08:12,"alhamdulillah sangat membantu dan memuaskan tapi kenapa saat perlu menngaplod tugas ngak bisa di buka, bahkan berulangkali di buka tapi Masi ngak bisa di buka, apa karna sigyal"
fadil oktaviano,1,2026-05-01 10:17:23,gabi di donlot
M arfa Nabil sabana,5,2026-05-01 09:02:36,woi Ngebug woi
putu cintia lestari dewi,4,2026-05-01 08:41:29,"padahal udah update canva, tapi kenapa error mulu ya? tiap masuk ngelag terus...padahal banyak dokumen penting disitu"
Rindu Ps,5,2026-05-01 08:14:50,baik
Sastia Tisa,5,2026-05-01 07:41:23,bagusss banget
Novi Fadilah,3,2026-05-01 07:26:03,👍🏻👍🏻luar biasa
Muhammad Wahyudi,1,2026-05-01 07:25:11,Banyak bug saat save design
vian oxbgt,1,2026-05-01 06:20:36,admin saya mau berhenti berlanggan tidak ada di playstor...?
Kifah Thoqif,5,2026-05-01 05:48:49,👍
Adonia Orlin,1,2026-05-01 05:43:36,canva nya gk bagus lebih baik pinntres aja
Ishmael Marzukhi,5,2026-05-01 05:28:32,BUAGUSSS POALLL
meyy2v,3,2026-05-01 05:22:28,"kalo mau nempel teks kok kepotong trs sih? udah dicoba berkali-kali jg gabisa, gjls bgt bikin mls ngedit"
Yolanda,4,2026-05-01 04:06:21,lumayan bagus untuk mengedit puisi saya agar lebih menarik dan sangat membantu
Anggrella Virnawati,5,2026-05-01 03:32:07,tapi kok gak bisa di buka ya
